Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.1564,0.7935,0.1519 
2,0.8006,0.1462,0.797,0.1477 
3,0.8134,0.141,0.8025,0.1406 
4,0.8194,0.1373,0.8105,0.1359 
5,0.8239,0.1346,0.821,0.133 
6,0.8256,0.1325,0.816,0.1363 
7,0.8289,0.1309,0.8255,0.1311 
8,0.8289,0.1291,0.832,0.1285 
9,0.8376,0.1242,0.8335,0.1237 
10,0.8472,0.118,0.851,0.1177 
11,0.8529,0.1132,0.8535,0.1145 
12,0.8544,0.1107,0.8525,0.1119 
13,0.8564,0.1087,0.8555,0.1107 
14,0.8595,0.1073,0.8565,0.1081 
15,0.8595,0.1071,0.8575,0.1096 
