Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7816,0.5486,0.792,0.4934 
2,0.7974,0.4836,0.792,0.4812 
3,0.7974,0.4736,0.792,0.4753 
4,0.7974,0.4664,0.792,0.4706 
5,0.7972,0.4614,0.792,0.465 
6,0.7996,0.4567,0.798,0.4595 
7,0.8077,0.4503,0.7945,0.4533 
8,0.8085,0.443,0.7995,0.4436 
9,0.813,0.4355,0.8005,0.4356 
10,0.815,0.4304,0.8095,0.4296 
11,0.8199,0.4282,0.811,0.4275 
12,0.8196,0.426,0.8115,0.4271 
13,0.821,0.4245,0.8135,0.4248 
14,0.8239,0.4227,0.8115,0.4264 
15,0.8238,0.4219,0.817,0.4249 
