Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7941,0.5079,0.792,0.4829 
2,0.7974,0.4707,0.792,0.4723 
3,0.7972,0.4632,0.7915,0.463 
4,0.7999,0.453,0.8,0.4523 
5,0.8083,0.4433,0.797,0.4423 
6,0.8146,0.4321,0.812,0.4255 
7,0.8189,0.4247,0.807,0.4359 
8,0.8259,0.4167,0.817,0.4191 
9,0.8255,0.4127,0.8215,0.4114 
10,0.8282,0.4082,0.822,0.4095 
11,0.8299,0.4032,0.8205,0.4153 
12,0.834,0.4017,0.824,0.4141 
13,0.8346,0.3969,0.824,0.4048 
14,0.8357,0.3944,0.8265,0.4064 
15,0.8381,0.391,0.829,0.399 
