Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7602,0.1739,0.792,0.1549 
2,0.7969,0.15,0.794,0.1522 
3,0.7997,0.1473,0.795,0.1477 
4,0.8039,0.1441,0.7965,0.1446 
5,0.8108,0.141,0.802,0.1396 
6,0.8133,0.1384,0.806,0.1377 
7,0.8206,0.1358,0.807,0.1378 
8,0.8234,0.1339,0.8155,0.1334 
9,0.8263,0.1327,0.821,0.132 
10,0.8314,0.1312,0.8285,0.1315 
11,0.8319,0.1297,0.824,0.1313 
12,0.8316,0.1291,0.825,0.1318 
13,0.8354,0.1274,0.8265,0.1286 
14,0.8341,0.1266,0.8305,0.1283 
15,0.8339,0.1262,0.8295,0.1275 
