Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7899,0.4901,0.7925,0.4755 
2,0.7995,0.4653,0.7935,0.4665 
3,0.8009,0.4596,0.79,0.4607 
4,0.8029,0.4516,0.7985,0.4482 
5,0.8092,0.4423,0.802,0.4471 
6,0.8159,0.4348,0.804,0.434 
7,0.8174,0.4294,0.8195,0.4247 
8,0.8216,0.4245,0.812,0.4247 
9,0.8229,0.4197,0.8225,0.4215 
10,0.8231,0.4158,0.8255,0.4194 
11,0.8299,0.4142,0.825,0.412 
12,0.8292,0.4109,0.8225,0.4125 
13,0.8316,0.4087,0.8235,0.4104 
14,0.8336,0.4057,0.8305,0.4052 
15,0.8346,0.403,0.8305,0.4115 
