Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7919,0.1642,0.792,0.153 
2,0.7991,0.149,0.7915,0.149 
3,0.8023,0.1454,0.7965,0.1474 
4,0.8058,0.1424,0.8,0.1428 
5,0.8114,0.1394,0.8045,0.14 
6,0.8148,0.1371,0.8105,0.1379 
7,0.8185,0.1358,0.8065,0.139 
8,0.8191,0.1346,0.8135,0.1343 
9,0.8207,0.1334,0.8095,0.1362 
10,0.8236,0.1318,0.812,0.1361 
11,0.8257,0.1309,0.8225,0.1307 
12,0.8275,0.1299,0.8235,0.1333 
13,0.8304,0.1294,0.8245,0.1311 
14,0.8316,0.1285,0.826,0.1314 
15,0.8328,0.1279,0.828,0.131 
