Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.6995,0.4193,0.792,0.3043 
2,0.7974,0.2476,0.792,0.2252 
3,0.7974,0.214,0.792,0.2147 
4,0.7974,0.208,0.792,0.2117 
5,0.7974,0.2059,0.792,0.2104 
6,0.7974,0.2049,0.792,0.2098 
7,0.7974,0.2044,0.792,0.2094 
8,0.7974,0.204,0.792,0.2091 
9,0.7974,0.2038,0.792,0.2089 
10,0.7974,0.2036,0.792,0.2088 
11,0.7974,0.2035,0.792,0.2087 
12,0.7974,0.2033,0.792,0.2086 
13,0.7974,0.2033,0.792,0.2085 
14,0.7974,0.2032,0.792,0.2085 
15,0.7974,0.2031,0.792,0.2084 
