Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7215,0.2212,0.792,0.1927 
2,0.7974,0.178,0.792,0.1711 
3,0.7974,0.1656,0.792,0.1653 
4,0.7974,0.1622,0.792,0.1638 
5,0.7974,0.1612,0.792,0.1633 
6,0.7974,0.1608,0.792,0.1631 
7,0.7974,0.1606,0.792,0.1629 
8,0.7974,0.1604,0.792,0.1627 
9,0.7974,0.1602,0.792,0.1626 
10,0.7974,0.1601,0.792,0.1624 
11,0.7974,0.1599,0.792,0.1622 
12,0.7974,0.1597,0.792,0.162 
13,0.7974,0.1595,0.792,0.1618 
14,0.7974,0.1594,0.792,0.1616 
15,0.7974,0.1591,0.792,0.1613 
