Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7958,0.1538,0.7895,0.1482 
2,0.8052,0.1434,0.801,0.1413 
3,0.8126,0.1382,0.807,0.137 
4,0.8207,0.135,0.8105,0.1362 
5,0.8256,0.1329,0.8165,0.1363 
6,0.8278,0.1313,0.817,0.1348 
7,0.8279,0.1296,0.8185,0.1357 
8,0.8331,0.1286,0.824,0.1321 
9,0.8355,0.1271,0.828,0.1291 
10,0.834,0.1268,0.8325,0.1287 
11,0.8353,0.1259,0.8255,0.1283 
12,0.8361,0.1251,0.8215,0.1334 
13,0.8388,0.1246,0.8295,0.1292 
14,0.837,0.1238,0.824,0.1295 
15,0.839,0.1231,0.831,0.1266 
