Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.79,0.4847,0.792,0.4635 
2,0.8039,0.4564,0.801,0.4478 
3,0.8123,0.4395,0.806,0.4346 
4,0.8198,0.4268,0.8155,0.4217 
5,0.8255,0.4171,0.8155,0.415 
6,0.8321,0.406,0.8305,0.3993 
7,0.8355,0.3973,0.831,0.3989 
8,0.838,0.3874,0.83,0.389 
9,0.8439,0.3818,0.8325,0.3878 
10,0.8466,0.375,0.8375,0.3884 
11,0.8469,0.3716,0.838,0.3803 
12,0.8471,0.3672,0.8345,0.3884 
13,0.8503,0.3652,0.8445,0.3701 
14,0.8512,0.3602,0.8365,0.3793 
15,0.8515,0.3582,0.849,0.3621 
