Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.3474,0.792,0.2543 
2,0.7974,0.2265,0.792,0.2188 
3,0.7974,0.2106,0.792,0.213 
4,0.7974,0.2069,0.792,0.211 
5,0.7974,0.2054,0.792,0.2101 
6,0.7974,0.2047,0.792,0.2096 
7,0.7974,0.2042,0.792,0.2092 
8,0.7974,0.2039,0.792,0.209 
9,0.7974,0.2037,0.792,0.2088 
10,0.7974,0.2035,0.792,0.2087 
11,0.7974,0.2034,0.792,0.2086 
12,0.7974,0.2033,0.792,0.2086 
13,0.7974,0.2032,0.792,0.2085 
14,0.7974,0.2032,0.792,0.2084 
15,0.7974,0.2031,0.792,0.2084 
