Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7849,0.1794,0.792,0.1639 
2,0.7974,0.1595,0.792,0.1611 
3,0.7974,0.1576,0.792,0.1598 
4,0.7974,0.1564,0.792,0.1588 
5,0.7974,0.1554,0.792,0.1579 
6,0.7974,0.1545,0.792,0.1571 
7,0.7974,0.1537,0.792,0.1563 
8,0.7974,0.1529,0.792,0.1557 
9,0.7974,0.1522,0.792,0.155 
10,0.7974,0.1516,0.792,0.1545 
11,0.7974,0.151,0.792,0.1541 
12,0.7974,0.1505,0.792,0.1534 
13,0.7977,0.1499,0.793,0.1529 
14,0.7999,0.1494,0.7925,0.1525 
15,0.7996,0.149,0.794,0.1519 
