Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7703,0.5329,0.792,0.4982 
2,0.7974,0.4914,0.792,0.4919 
3,0.7974,0.4847,0.792,0.487 
4,0.7974,0.4799,0.792,0.4841 
5,0.7974,0.4768,0.792,0.4821 
6,0.7974,0.4749,0.792,0.4809 
7,0.7974,0.4734,0.792,0.4792 
8,0.7974,0.4723,0.792,0.478 
9,0.7974,0.4709,0.792,0.4768 
10,0.7974,0.4701,0.792,0.4765 
11,0.7974,0.4692,0.792,0.4748 
12,0.7974,0.4681,0.792,0.4733 
13,0.7977,0.4673,0.792,0.4721 
14,0.7977,0.4662,0.791,0.4709 
15,0.7983,0.465,0.792,0.4696 
