Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4724,0.7919,0.473 
2,0.7974,0.4598,0.7919,0.4606 
3,0.7974,0.4362,0.7919,0.4371 
4,0.7974,0.3896,0.7919,0.3908 
5,0.7974,0.3144,0.7919,0.3165 
6,0.7974,0.2474,0.7919,0.2507 
7,0.7974,0.2175,0.7919,0.2218 
8,0.7974,0.2088,0.7919,0.2136 
9,0.7974,0.206,0.7919,0.211 
10,0.7974,0.2048,0.7919,0.2099 
11,0.7974,0.2041,0.7919,0.2093 
12,0.7974,0.2037,0.7919,0.209 
13,0.7974,0.2035,0.7919,0.2088 
14,0.7974,0.2033,0.7919,0.2086 
15,0.7974,0.2032,0.7919,0.2085 
