Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.6078,0.2365,0.5955,0.2373 
2,0.7974,0.1665,0.7919,0.1691 
3,0.7974,0.1569,0.7919,0.159 
4,0.7974,0.1537,0.7919,0.1564 
5,0.7974,0.1514,0.7919,0.1545 
6,0.7974,0.1497,0.7919,0.153 
7,0.7974,0.1481,0.7919,0.1513 
8,0.8014,0.1462,0.7959,0.1491 
9,0.8064,0.1438,0.8009,0.1465 
10,0.8095,0.1412,0.7989,0.1433 
11,0.8144,0.1386,0.8004,0.1402 
12,0.8149,0.1367,0.8035,0.1379 
13,0.8173,0.1352,0.8055,0.1364 
14,0.8199,0.134,0.81,0.1353 
15,0.8224,0.1331,0.811,0.1344 
