Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.6048,0.7919,0.6068 
2,0.7974,0.5621,0.7919,0.5649 
3,0.7974,0.5151,0.7919,0.5189 
4,0.7974,0.4958,0.7919,0.4996 
5,0.7974,0.489,0.7919,0.4923 
6,0.7974,0.4823,0.7919,0.4855 
7,0.7974,0.4769,0.7919,0.4803 
8,0.7974,0.4724,0.7919,0.4763 
9,0.7974,0.4691,0.7919,0.4732 
10,0.7974,0.4666,0.7919,0.4709 
11,0.7974,0.4644,0.7919,0.4688 
12,0.7974,0.4624,0.7919,0.4666 
13,0.7974,0.4602,0.7919,0.4644 
14,0.7974,0.4579,0.7919,0.4619 
15,0.7973,0.4554,0.7919,0.4592 
