Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.2026,0.7514,0.2081,0.7504 
2,0.6239,0.6669,0.6195,0.6673 
3,0.7974,0.5354,0.7919,0.5385 
4,0.7974,0.5009,0.7919,0.5036 
5,0.7974,0.4935,0.7919,0.4965 
6,0.7974,0.4875,0.7919,0.4907 
7,0.7974,0.4823,0.7919,0.4856 
8,0.7974,0.4778,0.7919,0.4812 
9,0.7974,0.4741,0.7919,0.4776 
10,0.7974,0.4708,0.7919,0.4743 
11,0.7974,0.4681,0.7919,0.4714 
12,0.7974,0.4657,0.7919,0.4688 
13,0.7974,0.4636,0.7919,0.4665 
14,0.7974,0.4616,0.7919,0.464 
15,0.798,0.4595,0.7919,0.4616 
