Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.2026,0.5142,0.2081,0.514 
2,0.2026,0.5068,0.2081,0.5067 
3,0.7344,0.4869,0.7225,0.4873 
4,0.7974,0.3919,0.7919,0.3938 
5,0.7974,0.2408,0.7919,0.245 
6,0.7974,0.207,0.7919,0.212 
7,0.7974,0.2044,0.7919,0.2096 
8,0.7974,0.2037,0.7919,0.209 
9,0.7974,0.2034,0.7919,0.2087 
10,0.7974,0.2032,0.7919,0.2085 
11,0.7974,0.2031,0.7919,0.2084 
12,0.7974,0.203,0.7919,0.2083 
13,0.7974,0.2029,0.7919,0.2083 
14,0.7974,0.2029,0.7919,0.2083 
15,0.7974,0.2028,0.7919,0.2082 
