Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.2174,0.7919,0.2182 
2,0.7974,0.1833,0.7919,0.1846 
3,0.7974,0.16,0.7919,0.1619 
4,0.7974,0.1566,0.7919,0.1585 
5,0.7974,0.1536,0.7919,0.1557 
6,0.7974,0.1504,0.7919,0.1528 
7,0.7974,0.1486,0.7919,0.1514 
8,0.7974,0.1475,0.7919,0.1504 
9,0.7981,0.1465,0.7919,0.1493 
10,0.8017,0.1455,0.7964,0.1481 
11,0.8056,0.1443,0.8004,0.1468 
12,0.808,0.1431,0.8014,0.1454 
13,0.8101,0.1418,0.8034,0.1438 
14,0.8124,0.1404,0.8019,0.1422 
15,0.8135,0.139,0.802,0.1405 
