Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.6074,0.7919,0.6094 
2,0.7974,0.5262,0.7919,0.5296 
3,0.7974,0.4906,0.7919,0.4932 
4,0.7974,0.4846,0.7919,0.4878 
5,0.7974,0.4798,0.7919,0.4834 
6,0.7974,0.4757,0.7919,0.4795 
7,0.7974,0.4716,0.7919,0.4755 
8,0.7974,0.4669,0.7919,0.4707 
9,0.7974,0.4618,0.7919,0.4658 
10,0.7974,0.4568,0.7919,0.4609 
11,0.7974,0.4509,0.7919,0.4541 
12,0.7973,0.4445,0.7919,0.4466 
13,0.801,0.4373,0.7924,0.4383 
14,0.8102,0.4298,0.8024,0.4302 
15,0.8165,0.4228,0.8069,0.423 
