Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4657,0.7919,0.4666 
2,0.7974,0.4394,0.7919,0.4409 
3,0.7974,0.3664,0.7919,0.3693 
4,0.7974,0.2536,0.7919,0.2578 
5,0.7974,0.211,0.7919,0.2158 
6,0.7974,0.2053,0.7919,0.2104 
7,0.7974,0.204,0.7919,0.2093 
8,0.7974,0.2035,0.7919,0.2088 
9,0.7974,0.2032,0.7919,0.2086 
10,0.7974,0.2031,0.7919,0.2084 
11,0.7974,0.203,0.7919,0.2083 
12,0.7974,0.2029,0.7919,0.2083 
13,0.7974,0.2028,0.7919,0.2082 
14,0.7974,0.2028,0.7919,0.2082 
15,0.7974,0.2028,0.7919,0.2082 
