Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.2323,0.7919,0.2326 
2,0.7974,0.2143,0.7919,0.215 
3,0.7974,0.1801,0.7919,0.1818 
4,0.7974,0.1612,0.7919,0.1639 
5,0.7974,0.1591,0.7919,0.1617 
6,0.7974,0.1565,0.7919,0.1594 
7,0.7974,0.1533,0.7919,0.1566 
8,0.7974,0.1507,0.7919,0.1544 
9,0.7974,0.1489,0.7919,0.1527 
10,0.7974,0.1476,0.7919,0.1511 
11,0.7985,0.1463,0.7924,0.1495 
12,0.8,0.145,0.7955,0.148 
13,0.8023,0.1437,0.799,0.1462 
14,0.8038,0.1422,0.7954,0.1444 
15,0.8079,0.1406,0.7974,0.1424 
