Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.6245,0.7919,0.6263 
2,0.7974,0.5387,0.7919,0.5426 
3,0.7974,0.4996,0.7919,0.5039 
4,0.7974,0.493,0.7919,0.4978 
5,0.7974,0.486,0.7919,0.4917 
6,0.7974,0.4792,0.7919,0.4855 
7,0.7974,0.4734,0.7919,0.48 
8,0.7974,0.4692,0.7919,0.4756 
9,0.7974,0.4661,0.7919,0.472 
10,0.7974,0.4635,0.7919,0.4689 
11,0.7974,0.4613,0.7919,0.466 
12,0.7974,0.4592,0.7919,0.4633 
13,0.7974,0.457,0.7919,0.4606 
14,0.7974,0.4546,0.7919,0.4578 
15,0.7974,0.4519,0.7919,0.4548 
