Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7924,0.476,0.7909,0.4765 
2,0.7974,0.3784,0.7919,0.3803 
3,0.7974,0.2394,0.7919,0.2433 
4,0.7974,0.2075,0.7919,0.2124 
5,0.7974,0.2046,0.7919,0.2097 
6,0.7974,0.2038,0.7919,0.209 
7,0.7974,0.2034,0.7919,0.2087 
8,0.7974,0.2032,0.7919,0.2085 
9,0.7974,0.2031,0.7919,0.2084 
10,0.7974,0.203,0.7919,0.2083 
11,0.7974,0.2029,0.7919,0.2083 
12,0.7974,0.2029,0.7919,0.2083 
13,0.7974,0.2028,0.7919,0.2082 
14,0.7974,0.2028,0.7919,0.2082 
15,0.7974,0.2028,0.7919,0.2082 
