Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7956,0.2257,0.7894,0.2265 
2,0.7974,0.1783,0.7919,0.1805 
3,0.7974,0.1591,0.7919,0.1622 
4,0.7974,0.1568,0.7919,0.16 
5,0.7974,0.1542,0.7919,0.1578 
6,0.7974,0.1513,0.7919,0.1552 
7,0.7974,0.1489,0.7919,0.1526 
8,0.7974,0.147,0.7919,0.1503 
9,0.7974,0.1455,0.7919,0.1482 
10,0.7975,0.1441,0.7919,0.1463 
11,0.7998,0.1427,0.7919,0.1445 
12,0.8032,0.1412,0.7964,0.1427 
13,0.8099,0.1397,0.8004,0.1408 
14,0.8141,0.1383,0.7994,0.1394 
15,0.8155,0.1373,0.8035,0.1382 
