Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.213,0.7919,0.2189 
2,0.7974,0.2026,0.7919,0.2081 
3,0.7974,0.2026,0.7919,0.2081 
4,0.7974,0.2026,0.7919,0.2081 
5,0.7974,0.2026,0.7919,0.2081 
6,0.7974,0.2026,0.7919,0.2081 
7,0.7974,0.2026,0.7919,0.2081 
8,0.7974,0.2026,0.7919,0.2081 
9,0.7974,0.2026,0.7919,0.2081 
10,0.7974,0.2026,0.7919,0.2081 
11,0.7974,0.2026,0.7919,0.2081 
12,0.7974,0.2026,0.7919,0.2081 
13,0.7974,0.2026,0.7919,0.2081 
14,0.7974,0.2026,0.7919,0.2081 
15,0.7974,0.2026,0.7919,0.2081 
