Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.1634,0.7919,0.1668 
2,0.7974,0.1488,0.7919,0.1525 
3,0.7996,0.1448,0.7954,0.1479 
4,0.8131,0.1419,0.8,0.1439 
5,0.8164,0.1383,0.8119,0.1384 
6,0.8211,0.1356,0.8199,0.1358 
7,0.824,0.1333,0.8245,0.1337 
8,0.8287,0.1318,0.824,0.1326 
9,0.8324,0.1302,0.8265,0.1318 
10,0.8333,0.1296,0.8245,0.1315 
11,0.8336,0.1294,0.8265,0.1311 
12,0.8345,0.1281,0.8285,0.1296 
13,0.8334,0.1283,0.8315,0.1296 
14,0.8345,0.127,0.8305,0.1288 
15,0.8333,0.1275,0.828,0.1308 
