Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7801,0.5062,0.7756,0.5122 
2,0.7974,0.4672,0.7919,0.4752 
3,0.7974,0.4591,0.7919,0.4648 
4,0.7974,0.4504,0.7919,0.4561 
5,0.7973,0.4412,0.7919,0.4492 
6,0.8125,0.4335,0.8045,0.4408 
7,0.8135,0.427,0.816,0.4323 
8,0.8216,0.4161,0.82,0.4213 
9,0.8233,0.4091,0.824,0.4134 
10,0.8306,0.4029,0.827,0.4094 
11,0.8321,0.3978,0.8279,0.4031 
12,0.8332,0.3933,0.83,0.399 
13,0.8344,0.3907,0.8315,0.3984 
14,0.8363,0.3874,0.83,0.3967 
15,0.8404,0.3827,0.8315,0.3922 
