Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.4413,0.7919,0.4424 
2,0.7974,0.4317,0.7919,0.4329 
3,0.7974,0.4221,0.7919,0.4235 
4,0.7974,0.4125,0.7919,0.4141 
5,0.7974,0.403,0.7919,0.4048 
6,0.7974,0.3936,0.7919,0.3956 
7,0.7974,0.3843,0.7919,0.3865 
8,0.7974,0.3752,0.7919,0.3776 
9,0.7974,0.3663,0.7919,0.3688 
10,0.7974,0.3577,0.7919,0.3603 
11,0.7974,0.3492,0.7919,0.352 
12,0.7974,0.3411,0.7919,0.344 
13,0.7974,0.3332,0.7919,0.3363 
14,0.7974,0.3257,0.7919,0.3289 
15,0.7974,0.3185,0.7919,0.3218 
