Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.3016,0.2547,0.3061,0.2547 
2,0.7834,0.242,0.7775,0.2422 
3,0.7974,0.2308,0.7919,0.2311 
4,0.7974,0.221,0.7919,0.2215 
5,0.7974,0.2125,0.7919,0.2132 
6,0.7974,0.2051,0.7919,0.2059 
7,0.7974,0.1988,0.7919,0.1997 
8,0.7974,0.1933,0.7919,0.1944 
9,0.7974,0.1886,0.7919,0.1898 
10,0.7974,0.1846,0.7919,0.1859 
11,0.7974,0.1812,0.7919,0.1826 
12,0.7974,0.1783,0.7919,0.1798 
13,0.7974,0.1758,0.7919,0.1774 
14,0.7974,0.1737,0.7919,0.1754 
15,0.7974,0.172,0.7919,0.1737 
