Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.4605,0.6959,0.4581,0.696 
2,0.7974,0.6623,0.7919,0.663 
3,0.7974,0.6346,0.7919,0.636 
4,0.7974,0.6117,0.7919,0.6136 
5,0.7974,0.5926,0.7919,0.595 
6,0.7974,0.5767,0.7919,0.5795 
7,0.7974,0.5635,0.7919,0.5667 
8,0.7974,0.5525,0.7919,0.5561 
9,0.7974,0.5434,0.7919,0.5473 
10,0.7974,0.5359,0.7919,0.5401 
11,0.7974,0.5298,0.7919,0.5343 
12,0.7974,0.5247,0.7919,0.5295 
13,0.7974,0.5207,0.7919,0.5257 
14,0.7974,0.5174,0.7919,0.5226 
15,0.7974,0.5147,0.7919,0.5201 
