Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.2026,0.5199,0.2081,0.5196 
2,0.2026,0.5103,0.2081,0.5102 
3,0.4496,0.5008,0.4486,0.5008 
4,0.7974,0.4912,0.7919,0.4914 
5,0.7974,0.4816,0.7919,0.482 
6,0.7974,0.472,0.7919,0.4726 
7,0.7974,0.4625,0.7919,0.4632 
8,0.7974,0.4529,0.7919,0.4537 
9,0.7974,0.4432,0.7919,0.4443 
10,0.7974,0.4336,0.7919,0.4348 
11,0.7974,0.4239,0.7919,0.4253 
12,0.7974,0.4142,0.7919,0.4158 
13,0.7974,0.4045,0.7919,0.4063 
14,0.7974,0.3948,0.7919,0.3967 
15,0.7974,0.3851,0.7919,0.3872 
