Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.6624,0.7919,0.6633 
2,0.7974,0.6282,0.7919,0.6298 
3,0.7974,0.5995,0.7919,0.6017 
4,0.7974,0.5756,0.7919,0.5785 
5,0.7974,0.5563,0.7919,0.5597 
6,0.7974,0.5409,0.7919,0.5449 
7,0.7974,0.5289,0.7919,0.5334 
8,0.7974,0.5199,0.7919,0.5248 
9,0.7974,0.5132,0.7919,0.5185 
10,0.7974,0.5084,0.7919,0.5139 
11,0.7974,0.505,0.7919,0.5108 
12,0.7974,0.5026,0.7919,0.5086 
13,0.7974,0.5009,0.7919,0.5071 
14,0.7974,0.4998,0.7919,0.5061 
15,0.7974,0.499,0.7919,0.5054 
