Epoch,ACC_Train,LOSS_Train,ACC_Test,LOSS_test 
1,0.7974,0.2337,0.7919,0.234 
2,0.7974,0.2237,0.7919,0.2241 
3,0.7974,0.215,0.7919,0.2156 
4,0.7974,0.2074,0.7919,0.2081 
5,0.7974,0.2007,0.7919,0.2016 
6,0.7974,0.195,0.7919,0.196 
7,0.7974,0.19,0.7919,0.1912 
8,0.7974,0.1857,0.7919,0.187 
9,0.7974,0.182,0.7919,0.1834 
10,0.7974,0.1789,0.7919,0.1804 
11,0.7974,0.1762,0.7919,0.1778 
12,0.7974,0.1738,0.7919,0.1755 
13,0.7974,0.1719,0.7919,0.1736 
14,0.7974,0.1702,0.7919,0.172 
15,0.7974,0.1687,0.7919,0.1706 
